"","place","africa_id","asia_id","europe_id","is_place"
"142","John","1093886; 1129375","8007059; 7911417; 7949457; 7911418; 8053525; 7572901; 1009120","7236778; 7236777; 7031236; 7464440; 7886199; 8711928; 7030807; 1050770; 7895540; 7885781; 7461901; 7443077; 7879045; 1030292; 7009702; 1047530; 7447391; 1043073; 7889921; 7447390; 7876100; 1100643; 7891670; 1012417; 4012706; 1026030; 7594228; 1030598; 3000932; 7031357; 7028651; 7442768",1
"143","Juvenal","","","",0
"144","Nestorios","","","",0
"145","Cyril","","","",0
"146","Boniface","","","",0
"147","Gaul","","7574039","1000070; 6002195; 7030317; 7030320; 4004256; 7180341; 7180340",1
"148","Spain","","7964150","7302059; 7336181; 6002557; 7594195; 1000095",1
"149","Placidia","","","",0
"150","Boniface","","","",0
"151","Proklos","","","",0
"152","Eudokia","","","",0
"153","Pulcheria","","","",0
"154","Paulinus","","","",0
"155","Cappadocia","","6003016; 7735631","7044016",1
"156","Dioskoros","","","",0
"157","Flavian","","","",0
"158","Eutyches","","","",0
"159","Ephesos","","7002499","",1
"160","Attila","","","7024736",1
"161","Jordanes","","","",0
"162","Ardabourios","","","",0
"163","Lycia","","5004391; 7001294; 7690405","",1
"164","Africa","7001242; 1000149; 8711612; 7032926; 7032932; 7032933; 6002136; 8711645; 7032934; 6002798; 1000169; 7032929; 7000726; 1000180; 1000198; 7016886; 1000193; 7032928; 7032927","","7056620; 1000199",1
"165","Marcian","","","",0
"166","Gangra","","7002521; 8183285; 7573530; 7573403; 7988517","",1
"167","Pelusium","6004608; 7539229; 1112537","","",1
"168","Dioskoros","","","",0
"169","Mount Sinai","1100137; 7001247","","",1
"170","Africa","7001242; 1000149; 8711612; 7032926; 7032932; 7032933; 6002136; 8711645; 7032934; 6002798; 1000169; 7032929; 7000726; 1000180; 1000198; 7016886; 1000193; 7032928; 7032927","","7056620; 1000199",1
"171","Gizerich","","","",0
"172","Areadne","","","",0
"173","St Symeon","","","",0
"174","Gangra","","7002521; 8183285; 7573530; 7573403; 7988517","",1
"175","Cherson","","","7230557; 7017285; 6001336; 7011651",1
"176","Kopreon","","","",0
"177","Basiliskos","","","",0
"178","Gizerich","","","",0
"179","Serdica","","","7009977",1
"180","Isauria","","7002344; 7002788; 7001296","",1
"181","Patmos","","","7268059; 7011024; 5001983",1
"182","Sbide","","","",0
"183","Kabades","","","",0
"184","Koukousos","","","",0
"185","Pityoussa","","7002664","7002670",1
"186","Zeno","","","7040323; 7035908; 7040325; 1046649; 7039435; 7078857",1
"187","Akakios","","","7237301",1
"188","Zeno","","","7040323; 7035908; 7040325; 1046649; 7039435; 7078857",1
